"产能下降","产能减量|产品[^。]*减产|建设用地*减量|停产|产量[^。]*下降","停产整治"
"中介机构变更","会计师|法律|保荐|财务股份|律师|券商,变更|更换|退出","独立董事|核查意见|保荐意见|法律意见"
"违规交易","短线|操作失误|违规买卖|敏感期|误买入",""
"终止股票激励","股票激励|员工持股,终止|暂缓|暂停|延期","完毕"
"重大内控缺陷","重大缺陷",""
"大股东未履行承诺","承诺,未|超期|延期|豁免",""
"大股东股权质押","质押|解押|解质,控股股东|大股东|实际控制人|董事长","逾期|平仓|违约|冻结|质押式回购"
"股权质押延期","质押|解押|解质,延长|延期","冻结|质押式回购"
"股权质押平仓逾期","质押|解押|解质,逾期|平仓|违约","冻结|质押式回购"
"其他股东股权质押","质押|解押|解质","控股股东|大股东|实际控制人|董事长|逾期|平仓|违约|冻结|质押式回购"
"实际控制权变动","(控股股东|实控人|实际控制人|大股东|公司控制权)[^。]*(变更|变动|转让|变化)",""
"重大关联交易","关联交易,重大",""
"一般关联交易","关联交易","重大"
"终止合作","合作|协作,终止|暂停|中止|暂缓",""
"同业竞争","同业竞争","独立董事|监事"
"资产重组","重组|资产购买|资产收购|资产置换|债转股|(作价|现金|以资|资产)[^。]*抵债",""
"终止资产重组","重组|资产购买|资产收购|资产置换|债转股|(作价|现金|以资|资产)[^。]*抵债,终止|中止|暂停|暂缓",""
"澄清报道","发布澄清|澄清|辟谣|发澄清|拟澄清|网澄清|公告澄清",""
"负面报道","炒作|陷入|造谣|缠身|撇清|忙撇清|质疑|谴责|批评|狠批|驳斥|抨击|怒斥|致歉|道歉|致歉信|深表歉意|疑似|惊爆|疯传|突现|引争议|撇开|撇除|揭露|疑遭|自查|核查",""
"地震台风等","受灾|防汛|防洪|烧损|冻死|烧毁|扑灭|肆虐|缺水|地震|山地滑坡|灾害|台风|海啸|水灾|干旱|泥石流",""
"意外事故","坍塌|垮塌|抢修|污染|损毁|伤亡|政变|暴动|致命|泄露门|致癌|发霉|变质|病变|斩污","受灾|防汛|防洪|烧损|冻死|烧毁|扑灭|肆虐|缺水|地震|山地滑坡|灾害|台风|海啸|水灾|干旱|泥石流"
"其他风险","吊销|未通过|废止|未取得|无效|存在不确定性|质量问题|不合格|虚假|违法广告|不及逾期",""
